fold,protein,pearson_r,rmse,mae
3,Vimentin,0.33427019144108766,0.32719412446022034,0.2513996958732605
3,CD47,0.4672318288350373,0.21489039063453674,0.15749065577983856
3,CD74,0.48793292254948467,0.7394275069236755,0.5926745533943176
3,SIRP,0.5255138267996584,0.25885337591171265,0.19176070392131805
3,Granzyme B,0.6077810400632753,0.48545458912849426,0.3634565770626068
3,IDH1,0.5024161114035626,0.2588373124599457,0.1931961178779602
3,MPO,0.6833646376852113,0.26973995566368103,0.18924717605113983
3,CD45,0.30575447021767804,0.3276009261608124,0.24423478543758392
3,CD21,0.6868116016545268,0.29455897212028503,0.1987285017967224
3,FIBR,0.3652153242501882,0.186831995844841,0.13547852635383606
3,C-KIT,0.555275923713105,0.44471046328544617,0.3498532176017761
3,CD3e,0.27220755831658955,0.2608620524406433,0.18350471556186676
3,TOX,0.6649939112040185,0.3855809271335602,0.26939722895622253
3,PD-1,0.47094351969567455,0.20769962668418884,0.14789436757564545
3,PDGFR,0.5805383323968101,0.3766096532344818,0.2926056385040283
3,CD4,0.34467864181469726,0.24967998266220093,0.18105922639369965
3,MAP2,0.7186635760094254,0.4015447497367859,0.2974521219730377
3,CD8,0.5023945563478043,0.36417150497436523,0.2504679560661316
3,MGMT,0.35539042382029756,0.29425927996635437,0.20831871032714844
3,CD38,0.35509182389047056,0.2940595746040344,0.21989235281944275
3,HLA-DR,0.37494323534128204,0.3941984474658966,0.2841525375843048
3,CD14,0.40405121331810057,0.381784588098526,0.287553608417511
3,ICOS,0.4965597136568174,0.19508957862854004,0.14110106229782104
3,Granzyme K,0.5248887442598305,0.28512534499168396,0.21653929352760315
4,synd,0.5996705203245735,0.42396509647369385,0.282185822725296
4,FOXP3,0.566966542065145,0.2506329119205475,0.17925423383712769
4,CD16,0.48121448247748727,0.6359298825263977,0.48095738887786865
4,CD31,0.38872838423302114,0.3435746431350708,0.22098605334758759
4,CXCL13,0.4760182375171227,0.2630787193775177,0.19072973728179932
4,Ki67,0.5088652637978631,0.9963201284408569,0.8106767535209656
4,OLIG2,0.5698505168930359,0.45017144083976746,0.36047565937042236
4,CXCR5,0.5020026583177989,0.2527475357055664,0.1741885393857956
4,HLA-A,0.29634899657178004,0.41884827613830566,0.33427509665489197
4,PD-L1,0.3509134793984851,0.27354374527931213,0.1981537789106369
4,PSD95,0.43490995446808106,0.6138930916786194,0.49578621983528137
4,CD20,0.47105482525365316,0.3234126567840576,0.22328495979309082
4,CD68,0.46410640268932807,0.34551918506622314,0.2398916780948639
4,CD44,0.5009301186251508,0.7940716743469238,0.5831127166748047
4,SMA,0.26383786843159795,0.602258563041687,0.4296093285083771
4,MSH6,0.5603627055781834,0.42998966574668884,0.3349955677986145
4,CD23,0.5744079776461353,0.6061877608299255,0.4805523753166199
4,GFAP,0.5219226504095793,0.3329843282699585,0.2568104565143585
4,SYNA,0.6986065108395632,0.29608023166656494,0.20531150698661804
4,Podoplanin,0.4203711864250711,0.4271458089351654,0.3227422535419464
4,Vimentin,0.3226206925563712,0.33631277084350586,0.255357950925827
4,CD47,0.4902167436895795,0.22787624597549438,0.16133169829845428
4,CD74,0.4663238912407964,0.7554445266723633,0.600935697555542
4,SIRP,0.5264166021832632,0.27347317337989807,0.1970006823539734
4,Granzyme B,0.5997784782561106,0.4988935887813568,0.37545931339263916
4,IDH1,0.5455337894644343,0.26742470264434814,0.19706830382347107
4,MPO,0.6468689441418028,0.2903556525707245,0.19521112740039825
