fold,protein,pearson,spearman,r2,rmse,mae
1,GFAP,0.15945298969745636,0.16693984661245967,0.019857823848724365,0.3821989124493718,0.2946324050426483
1,SYNA,0.23354914784431458,0.14386854418927547,0.05389082431793213,0.2641108919980381,0.19914257526397705
1,Podoplanin,0.28509950637817383,0.15093272217409873,0.07632589340209961,0.9220061128128213,0.6721428632736206
1,Vimentin,0.3273305296897888,0.22447022777882525,0.10427206754684448,0.3891599839424317,0.30190280079841614
1,CD47,0.2789146602153778,0.183044272658547,0.07105851173400879,0.21296450006858217,0.15529531240463257
1,CD74,0.4523584246635437,0.40897954404861625,0.20103144645690918,0.7966340766675762,0.6588963866233826
1,SIRP,0.2854768931865692,0.2756720846417217,0.0803641676902771,0.2489945039583042,0.1924935132265091
1,Granzyme B,0.4168124496936798,0.24039388227656738,0.16528832912445068,0.5948263751679636,0.3791104555130005
1,IDH1,0.3275681138038635,0.2390490554897455,0.10675060749053955,0.2805820719630439,0.21064360439777374
1,MPO,0.5442187190055847,0.14166753150176137,0.27945995330810547,0.2318623081882676,0.12485885620117188
1,CD45,0.5404120683670044,0.24248417580996146,0.29010146856307983,0.322768102844392,0.2411096692085266
1,CD21,0.30366894602775574,0.13972501411724753,0.09102451801300049,0.2505414285475209,0.19145245850086212
1,FIBR,0.5296106934547424,0.19051823777050264,0.275934636592865,0.18441159119633868,0.13058742880821228
1,C-KIT,0.4880104660987854,0.2800170329310104,0.23665356636047363,0.6179207417856818,0.4140864610671997
1,CD3e,0.6060646772384644,0.17703517713267353,0.3588542342185974,0.19568326091652385,0.12617908418178558
1,TOX,0.47969987988471985,0.2696368610682542,0.22368425130844116,0.36017796746765374,0.19465060532093048
1,PD-1,0.421362042427063,0.16003670969081696,0.17186397314071655,0.15499387922238145,0.10897564888000488
1,PDGFR,0.4826480746269226,0.25309248601759626,0.23116534948349,0.5935582303000759,0.3864215016365051
1,CD4,0.528553307056427,0.2460230200368541,0.2787502408027649,0.25672562119244136,0.18885453045368195
1,MAP2,0.4789610505104065,0.31511848081297705,0.22202527523040771,0.43209211117403384,0.3354521095752716
1,CD8,0.1522485762834549,0.08281796199789623,0.01670736074447632,0.30632764795329925,0.1865948587656021
1,MGMT,0.47936078906059265,0.23381737023365837,0.2254430055618286,0.3603748014239804,0.2384326457977295
1,CD38,0.33091387152671814,0.26165393635748685,0.1041637659072876,0.2826418609499328,0.22120308876037598
1,HLA-DR,0.4653080105781555,0.3144546179845735,0.2095920443534851,0.416489434298282,0.3066873252391815
1,CD14,0.4375098943710327,0.32020744232941034,0.18968313932418823,0.4160091238454119,0.3216190040111542
1,ICOS,0.3328106999397278,0.2020512313302286,0.10751396417617798,0.20094152799517243,0.14182952046394348
1,Granzyme K,0.32227227091789246,0.15858444083877063,0.08374875783920288,0.20606488387927557,0.16019688546657562
2,synd,0.36247098445892334,0.30731356637140983,0.12796270847320557,0.35821647078384605,0.2496146410703659
2,FOXP3,0.4105413854122162,0.31050383479544336,0.1616572141647339,0.18534013373269262,0.13129067420959473
2,CD16,0.28346899151802063,0.27584176636672225,0.07791322469711304,0.58674598864276,0.43358752131462097
2,CD31,0.4239068925380707,0.23800894926656338,0.17348182201385498,0.3494467863364672,0.24499471485614777
2,CXCL13,0.3420899510383606,0.13755479892045255,0.11507326364517212,0.1671466949168795,0.11586318165063858
2,Ki67,0.41417357325553894,0.2481296757256231,0.17038440704345703,1.0652935664899468,0.8381438851356506
2,OLIG2,0.33965468406677246,0.3030285695238033,0.11131590604782104,0.3802613674260436,0.30828142166137695
2,CXCR5,0.42897871136665344,0.1717375680615033,0.182375967502594,0.16718547632650446,0.1098000556230545
2,HLA-A,0.2023812085390091,0.16813165094519775,0.03879350423812866,1.0438325426733255,0.819936215877533
2,PD-L1,0.5345105528831482,0.18288729427665762,0.28517329692840576,0.16836810321708412,0.11422155052423477
2,PSD95,0.3461402952671051,0.26514564051776873,0.11648505926132202,1.2333339212175636,0.9566031098365784
2,CD20,0.25078457593917847,0.14923604545330604,0.05475032329559326,0.262949257103813,0.15567487478256226
2,CD68,0.7016767859458923,0.22395605325747422,0.47080183029174805,0.3816899949999951,0.24570168554782867
